,pwm,left,right
377,-134,0.0,-0.72
378,-133,0.0,-0.72
379,-132,0.0,-0.718
380,-131,0.0,-0.71
381,-130,0.0,-0.71
382,-129,0.0,-0.71
383,-128,0.0,-0.71
384,-127,0.0,-0.71
385,-126,0.0,-0.702
386,-125,0.0,-0.7
387,-124,0.0,-0.692
388,-123,0.0,-0.692
389,-122,0.0,-0.6980000000000001
390,-121,0.0,-0.7
391,-120,0.0,-0.7
392,-119,0.0,-0.692
393,-118,0.0,-0.6820000000000002
394,-117,0.0,-0.68
395,-116,0.0,-0.676
396,-115,0.0,-0.67
397,-114,0.0,-0.67
398,-113,0.0,-0.67
399,-112,0.0,-0.67
400,-111,0.0,-0.66
401,-110,0.0,-0.6639999999999999
402,-109,0.0,-0.6620000000000001
403,-108,0.0,-0.66
404,-107,0.0,-0.66
405,-106,0.0,-0.6519999999999999
406,-105,0.0,-0.65
407,-104,0.0,-0.65
408,-103,0.0,-0.6420000000000001
409,-102,0.0,-0.64
410,-101,0.0,-0.634
411,-100,0.0,-0.63
412,-99,0.0,-0.6260000000000001
413,-98,0.0,-0.62
414,-97,0.0,-0.62
415,-96,0.0,-0.62
416,-95,0.0,-0.618
417,-94,0.0,-0.61
418,-93,0.0,-0.6
419,-92,0.0,-0.5959999999999999
420,-91,0.0,-0.59
421,-90,0.0,-0.58
422,-89,0.0,-0.578
423,-88,0.0,-0.57
424,-87,0.0,-0.562
425,-86,0.0,-0.556
426,-85,0.0,-0.56
427,-84,0.0,-0.55
428,-83,0.0,-0.542
429,-82,0.0,-0.53
430,-81,0.0,-0.5280000000000001
431,-80,0.0,-0.5280000000000001
432,-79,0.0,-0.52
433,-78,0.0,-0.512
434,-77,0.0,-0.51
435,-76,0.0,-0.5
436,-75,0.0,-0.49000000000000005
437,-74,0.0,-0.49000000000000005
438,-73,0.0,-0.48
439,-72,0.0,-0.4699999999999999
440,-71,0.0,-0.4600000000000001
441,-70,0.0,-0.45600000000000007
442,-69,0.0,-0.446
443,-68,0.0,-0.44000000000000006
444,-67,0.0,-0.422
445,-66,0.0,-0.41
446,-65,0.0,-0.41
447,-64,0.0,-0.39200000000000007
448,-63,0.0,-0.39
449,-62,0.0,-0.39
450,-61,0.0,-0.39
451,-60,0.0,-0.388
452,-59,0.0,-0.36199999999999993
453,-58,0.0,-0.35
454,-57,0.0,-0.34
455,-56,0.0,-0.33
456,-55,0.0,-0.32
457,-54,0.0,-0.31
458,-53,0.0,-0.296
459,-52,0.0,-0.28200000000000003
460,-51,0.0,-0.27
461,-50,0.0,-0.26
462,-49,0.0,-0.25
463,-48,0.0,-0.24
